Sounder, Date (dd/MM/YYYY), Time (hh:mm:ss), Latitude (DD;MM;SS.sss H), Longitude  (DD;MM;SS.sss H),depth, Range (m),time,lat,lon,,
EA600-18kHz,10/9/22,10:48:05 AM,23;53;35.820 S,52;40;07.433 E,4774.96,4766.38,10/9/22 10:48:05 AM,-23.89328333,52.66873139,,
EA600-18kHz,10/9/22,10:48:58 AM,23;53;29.403 S,52;40;21.148 E,4765.19,4755.99,10/9/22 10:48:58 AM,-23.89150083,52.67254111,,
EA600-18kHz,10/9/22,10:49:25 AM,23;53;26.249 S,52;40;28.042 E,4730.06,4720.84,10/9/22 10:49:25 AM,-23.89062472,52.67445611,,
EA600-18kHz,10/9/22,10:49:38 AM,23;53;24.625 S,52;40;31.468 E,4729.1,4720.16,10/9/22 10:49:38 AM,-23.89017361,52.67540778,,
EA600-18kHz,10/9/22,10:50:18 AM,23;53;19.837 S,52;40;41.752 E,4743.5,4734.31,10/9/22 10:50:18 AM,-23.88884361,52.67826444,,
EA600-18kHz,10/9/22,10:50:45 AM,23;53;16.721 S,52;40;48.674 E,4710.83,4702.02,10/9/22 10:50:45 AM,-23.88797806,52.68018722,,
EA600-18kHz,10/9/22,10:50:58 AM,23;53;15.142 S,52;40;52.053 E,4716.96,4707.41,10/9/22 10:50:58 AM,-23.88753944,52.68112583,,
EA600-18kHz,10/9/22,10:51:12 AM,23;53;13.563 S,52;40;55.500 E,4693.13,4683.8,10/9/22 10:51:12 AM,-23.88710083,52.68208333,,
EA600-18kHz,10/9/22,10:51:25 AM,23;53;11.975 S,52;40;58.923 E,4693.08,4684.11,10/9/22 10:51:25 AM,-23.88665972,52.68303417,,
EA600-18kHz,10/9/22,10:52:05 AM,23;53;07.205 S,52;41;09.237 E,4701.66,4692.77,10/9/22 10:52:05 AM,-23.88533472,52.68589917,,
EA600-18kHz,10/9/22,10:52:19 AM,23;53;05.573 S,52;41;12.628 E,4694.94,4686.33,10/9/22 10:52:19 AM,-23.88488139,52.68684111,,
EA600-18kHz,10/9/22,10:52:32 AM,23;53;04.025 S,52;41;16.073 E,4689.31,4679.98,10/9/22 10:52:32 AM,-23.88445139,52.68779806,,
EA600-18kHz,10/9/22,10:52:45 AM,23;53;02.371 S,52;41;19.465 E,4680.77,4671.72,10/9/22 10:52:45 AM,-23.88399194,52.68874028,,
EA600-18kHz,10/9/22,10:52:59 AM,23;53;00.745 S,52;41;22.846 E,4658.44,4649.32,10/9/22 10:52:59 AM,-23.88354028,52.68967944,,
EA600-18kHz,10/9/22,10:54:06 AM,23;52;52.737 S,52;41;40.034 E,4551.74,4543.07,10/9/22 10:54:06 AM,-23.88131583,52.69445389,,
EA600-18kHz,10/9/22,10:54:19 AM,23;52;51.146 S,52;41;43.426 E,4537.24,4528.06,10/9/22 10:54:19 AM,-23.88087389,52.69539611,,
EA600-18kHz,10/9/22,10:54:32 AM,23;52;49.571 S,52;41;46.877 E,4541.91,4532.78,10/9/22 10:54:32 AM,-23.88043639,52.69635472,,
EA600-18kHz,10/9/22,10:54:46 AM,23;52;47.924 S,52;41;50.283 E,4514.64,4506.26,10/9/22 10:54:46 AM,-23.87997889,52.69730083,,
EA600-18kHz,10/9/22,10:54:59 AM,23;52;46.346 S,52;41;53.715 E,4512.21,4502.78,10/9/22 10:54:59 AM,-23.87954056,52.69825417,,
EA600-18kHz,10/9/22,10:55:13 AM,23;52;44.720 S,52;41;57.163 E,4474.96,4465.47,10/9/22 10:55:13 AM,-23.87908889,52.69921194,,
EA600-18kHz,10/9/22,10:55:26 AM,23;52;43.132 S,52;42;00.555 E,4478.87,4469.64,10/9/22 10:55:26 AM,-23.87864778,52.70015417,,
EA600-18kHz,10/9/22,10:55:39 AM,23;52;41.548 S,52;42;04.034 E,4459.25,4449.98,10/9/22 10:55:39 AM,-23.87820778,52.70112056,,
EA600-18kHz,10/9/22,10:55:53 AM,23;52;39.887 S,52;42;07.453 E,4380.67,4371.71,10/9/22 10:55:53 AM,-23.87774639,52.70207028,,
EA600-18kHz,10/9/22,10:56:06 AM,23;52;38.247 S,52;42;10.825 E,4377.02,4367.96,10/9/22 10:56:06 AM,-23.87729083,52.70300694,,
EA600-18kHz,10/9/22,10:56:19 AM,23;52;36.698 S,52;42;14.292 E,4405.25,4396.34,10/9/22 10:56:19 AM,-23.87686056,52.70397,,
EA600-18kHz,10/9/22,10:56:33 AM,23;52;35.077 S,52;42;17.703 E,4405.81,4397.2,10/9/22 10:56:33 AM,-23.87641028,52.7049175,,
EA600-18kHz,10/9/22,10:56:46 AM,23;52;33.403 S,52;42;21.065 E,4395.16,4386.32,10/9/22 10:56:46 AM,-23.87594528,52.70585139,,
EA600-18kHz,10/9/22,10:57:00 AM,23;52;31.801 S,52;42;24.478 E,4389.07,4380.08,10/9/22 10:57:00 AM,-23.87550028,52.70679944,,
EA600-18kHz,10/9/22,10:57:13 AM,23;52;30.203 S,52;42;27.954 E,4317.29,4308.55,10/9/22 10:57:13 AM,-23.87505639,52.707765,,
EA600-18kHz,10/9/22,10:57:26 AM,23;52;28.567 S,52;42;31.371 E,4315.82,4307.04,10/9/22 10:57:26 AM,-23.87460194,52.70871417,,
EA600-18kHz,10/9/22,10:57:40 AM,23;52;26.904 S,52;42;34.760 E,4306.81,4297.61,10/9/22 10:57:40 AM,-23.87414,52.70965556,,
EA600-18kHz,10/9/22,10:58:06 AM,23;52;23.681 S,52;42;41.627 E,4298.87,4289.56,10/9/22 10:58:06 AM,-23.87324472,52.71156306,,
EA600-18kHz,10/9/22,10:58:20 AM,23;52;22.025 S,52;42;45.008 E,4297.04,4287.92,10/9/22 10:58:20 AM,-23.87278472,52.71250222,,
EA600-18kHz,10/9/22,10:59:40 AM,23;52;12.367 S,52;43;05.574 E,4325.02,4315.58,10/9/22 10:59:40 AM,-23.87010194,52.718215,,
EA600-18kHz,10/9/22,10:59:53 AM,23;52;10.749 S,52;43;09.015 E,4331.31,4322.51,10/9/22 10:59:53 AM,-23.8696525,52.71917083,,
EA600-18kHz,10/9/22,11:00:07 AM,23;52;09.126 S,52;43;12.438 E,4342.84,4333.49,10/9/22 11:00:07 AM,-23.86920167,52.72012167,,
EA600-18kHz,10/9/22,11:00:20 AM,23;52;07.506 S,52;43;15.852 E,4353.09,4343.67,10/9/22 11:00:20 AM,-23.86875167,52.72107,,
EA600-18kHz,10/9/22,11:00:33 AM,23;52;05.867 S,52;43;19.299 E,4355.37,4346.57,10/9/22 11:00:33 AM,-23.86829639,52.7220275,,
EA600-18kHz,10/9/22,11:00:47 AM,23;52;04.215 S,52;43;22.727 E,4330.73,4321.86,10/9/22 11:00:47 AM,-23.8678375,52.72297972,,
EA600-18kHz,10/9/22,11:01:27 AM,23;51;59.385 S,52;43;32.980 E,4406.91,4398.23,10/9/22 11:01:27 AM,-23.86649583,52.72582778,,
EA600-18kHz,10/9/22,11:01:40 AM,23;51;57.795 S,52;43;36.405 E,4411.23,4401.75,10/9/22 11:01:40 AM,-23.86605417,52.72677917,,
EA600-18kHz,10/9/22,11:01:53 AM,23;51;56.165 S,52;43;39.866 E,4418.67,4409.77,10/9/22 11:01:53 AM,-23.86560139,52.72774056,,
EA600-18kHz,10/9/22,11:02:07 AM,23;51;54.520 S,52;43;43.263 E,4427.18,4417.94,10/9/22 11:02:07 AM,-23.86514444,52.72868417,,
